Subject,SO-Average,E-Z Male-Female,S-Z Same-Other,Self-Reported  Nonconformity,Video-Rated Adulthood Nonconformity
1,6,-0.050443118,0.912787983,4.666666667,4.17838138
2,5,-0.051797949,0.039002386,3.166666667,3.508614891
3,6,0.02045596,-0.139154274,2.583333333,3.257118456
4,0,-0.242909709,-1.594875731,1.083333333,2.555066046
5,6,0.074339258,-0.938630389,1,2.556958635
6,0,-0.242909709,-1.594875731,1.083333333,2.555066046
7,6,0.037471738,-0.391620416,2.083333333,3.036015355
8,0,-0.257089524,-1.38448728,1.5,2.739318631
9,6,0.040307701,-0.433698106,2,2.999164838
10,0,-0.240073746,-1.636953421,1,2.518215529
11,6,-0.033427339,0.660321842,4.166666667,3.957278278
12,0,-0.274105303,-1.132021138,2,2.960421732
13,6,0.04881559,-0.559931177,1.75,2.888613287
14,6,0.031799812,-0.307465035,2.25,3.109716389
15,6,-0.124178158,1.86539812,6.833333333,5.13649482
16,0,-0.240073746,-1.636953421,1,2.518215529
17,6,-0.005067708,0.239544939,3.333333333,3.588773109
18,0.5,-0.307459444,-0.190196056,3.75,3.73751118
19,6,0.291809465,1.737937148,3.583333333,3.022222222
20,0,-0.18054634,-1.858169485,3.083333333,4.355555556
21,6,-0.019247524,0.44993339,3.75,3.773025694
22,6,-0.019247524,0.44993339,3.75,3.773025694
23,0,0.15261807,-1.754076701,1.083333333,3.755555556
24,6,0.095600212,1.824530574,4.5,5.444444444
25,6,-0.084474675,1.417720267,5.666666667,4.620587583
26,6,-0.02491945,0.534088771,3.916666667,3.846726728
27,6,-0.019247524,0.44993339,3.75,3.773025694
28,6,-0.039099265,0.744477222,4.333333333,4.030979312
29,6,0.026127886,-0.223309654,2.416666667,3.183417423
30,0,-0.245745672,-1.552798041,1.166666667,2.591916563
31,6,0.05732348,-0.686164248,1.5,2.778061736
32,0,-0.259925487,-1.34240959,1.583333333,2.776169148
33,6,0.132930452,1.787638715,1.333333333,2.488888889
